street,aprt_level,aprt_living_area,aprt_pricepermether,aprt_prices,aprt_rooms,aprt_total_area,aprt_total_levels,aprt_year
Колоса,0,0,4176.0,355000.0,3,85,0,0
Правди,2,36,3021.0,145000.0,1,48,24,2017
Велика,2,39.6,1560.0,117000.0,2,75,25,2018
Голосіївський,1,38,5000.0,300000.0,2,60,6,2005
No street name,7,19,1107.0,55000.0,1,49.7,22,2012
Бойчука,2,31,869.0,41000.0,2,47.18,5,1964
Центральна,3,18,2560.0,128000.0,2,50,25,2015
Ясинуватський,2,0,2465.0,175000.0,2,71,25,2017
Райдужна,3,13,25808.0,21162.162162162163,1,30.34,5,0
Ломоносова,23,36,1324.0,90000.0,2,68,25,2011
No street name,3,0,2227.0,98000.0,2,44,5,1964
No street name,15,13.4,2854.0,137000.0,1,48,23,2016
Гусовського,7,0,978.0,45000.0,1,46,26,0
Окіпної,19,28.3,31537.0,54465.62162162162,2,63.9,26,2021
Багговутівська,3,62.5,2163.0,200000.0,3,92.48,5,1946
Дружби,9,0,2333.0,147000.0,2,63,24,2017
Маккейна,5,42,1099.0,78000.0,3,71,9,1977
Маланюка,15,13,2343.0,82000.0,1,35,15,2018
Михайла,4,35,1562.0,75000.0,1,48,6,0
Героїв,15,27.2,1589.0,89000.0,1,56,20,2013
Маланюка,7,0,3447.0,710000.0,4,206,25,2015
Саперне,14,93,3605.0,620000.0,5,172,17,2001
Балтійський,1,22,1544.0,69500.0,3,45,7,0
Кудрявська,8,45,1000.0,85000.0,2,85,25,2015
Перемоги,6,17,878.0,43000.0,2,49,6,0
Німанська,16,80,1710.0,330000.0,4,193,16,2003
Каховська,2,26,1429.0,59000.0,2,41.3,9,1963
Малопідвальна,1,31,930.0,40000.0,3,43,5,1962
Невська,4,178,3429.0,1200000.0,5,350,6,1895
Златоустівська,20,0,3189.0,405000.0,3,127,31,0
No street name,4,0,1285.0,100110.0,3,77.9,16,0
Берковецька,12,86.6,2222.0,400000.0,4,180,25,2001
Бажана,16,15.08,1788.0,97500.0,1,54.54,26,0
Антоновича,0,0,0,83000.0,0,0,0,0
No street name,2,40,733.0,44000.0,3,60,5,1970
Гречка,8,40.6,1100.0,66000.0,3,60,9,1973
Микільсько-Слобідська,2,95,2011.0,350000.0,4,174,10,0
Правди,15,29,1055.0,77000.0,2,73,25,2010
Тимошенка,22,52,1315.0,122250.0,3,93,24,0
Павла,6,42.3,888.0,65000.0,3,73.2,9,1979
Олевська,4,80,1214.0,170000.0,4,140,16,2002
Освіти,13,18,1900.0,95000.0,1,50,25,2018
Іллєнка,3,46,966.0,85000.0,3,88,16,2005
Дніпровська,25,15.6,1454.0,69500.0,1,47.8,25,0
Івана,9,20,3535.0,152000.0,2,43,24,2019
Українки,6,42,1278.0,92000.0,3,72,9,1975
Данченка,27,0,1518.0,375000.0,6,247,27,2010
Драгомирова,12,170,1796.0,449000.0,5,250,16,2005
Тбіліський,9,32,1127.0,75500.0,2,67,25,2020
Каховська,9,34.19,1728.0,140000.0,2,81,9,1986
Ушинського,0,0,1364.0,45000.0,1,33,0,0
Урлівська,11,18,2316.0,135000.0,1,58.3,15,2005
Світлицького,26,50,1344.0,125000.0,4,93,33,2018
Дніпровська,21,56,1284.0,140000.0,3,109,25,2011
Липківського,14,34.5,1713.0,120000.0,2,70.05,16,2018
Микільсько-Слобідська,1,30,764.0,42000.0,2,55,5,1971
Лобановського,3,41,1420.0,125000.0,3,88,24,2020
Героїв,4,31.4,1086.0,48000.0,2,44.2,5,1960
Дніпровська,16,91,2000.0,300000.0,3,150,17,2005
Драгоманова,20,61,1379.0,120000.0,3,87,24,0
Ахматової,11,150,2360.0,649000.0,5,275,17,2006
Саперне,4,56,812.0,64980.0,4,80,9,1969
Данченка,16,22,1426.0,77000.0,1,54,24,2015
Голосіївський,24,14,1116.0,48000.0,1,43,26,0
No street name,2,47,1085.0,102000.0,3,94,22,2006
Глибочицька,22,15,4405.0,185000.0,1,42,24,2019
Багговутівська,10,17.5,1243.0,42000.0,1,33.8,22,0
Саксаганського,16,55,991.0,115000.0,3,116,19,2007
Моторний,4,33,2303.0,175000.0,2,76,14,0
Йорданська,9,40,915.0,54000.0,3,59,9,1973
Саперне,12,68,50580.0,273405.4054054054,4,200,12,2012
Вернадського,18,15.7,1957.0,137000.0,2,70,24,2017
Курбаса,12,40.6,1258.0,95000.0,3,75.5,20,1997
Багговутівська,5,120,2400.0,360000.0,5,150,6,1936
Набережно-Рибальська,6,86,833.0,135000.0,1,162,16,2005
Саксаганського,1,18,2333.0,105000.0,1,45,9,1971
Малиновського,4,27,935.0,58000.0,2,62,26,0
Протасів,3,45,2400.0,180000.0,5,75,4,1883
Німанська,8,42,1692.0,153000.0,2,90.4,27,2010
Підвисоцького,6,37,2271.0,159000.0,2,70,12,2016
Зодчих,6,53,1032.0,98000.0,3,95,25,2016
